goodsNo
1220731
1648533
2086104
1961481
4466532
1640887
5066979
2584859
4639911
3830420
4246352
1225000
4468665
4299066
1144382
4776567
4246349
5048321
1031294
1695746
2625572
3095989
3830417
4241325
4741011
2559402
4246351
3912050
1548409
2086103
4497670
4380006
4577856
4639896
4684165
4731033
3702676
1385437
3070491
1110678
4602837
5279545
4774083
1467716
2584860
1855958
1512315
1581922
4342346
4760772
3325928
4187962
471213
4380007
4497524
2673516
3510923
4246353
5276128
4201364
1895195
4577855
1982675
4761925
5158141
4091346
4740184
3434611
3329373
2086102
3822975
3510924
3521187
5297428
4345153
2625574
2086100
5135594
735511
2532126
4731026
4051363
5304460
3639258
5065982
3839875
2625573
4974771
2633088
5279551
2305802
4722133
3094436
4777559
4726867
4246354
4255731
1224998
2305801
2584858
3489621
1961480
4304066
1595795
4043128
1031296
4345136
4342330
4051365
4797520
5286599
3767800
4201333
4760773
3839872
4246350
1031295
5238796
5056657
3594393
1224173
4342335
3113079
4819420
4797504
4458663
4731030
5238857
2086097
1722682
4091158
2113552
3982573
3933139
1525980
1964698
2086098
4726765
5385024
4777557
4761923
4761921
5129134
4735298
3094441
3200302
4662587
5443946
2086096
4641449
3847642
4214240
3933141
5315726
4808124
3489622
2091997
4761922
3739822
4398400
1176659
5083334
4344956
1525982
4192782
1964699
4097613
5276927
2398431
4344899
2738711
2398432
3113078
5279550
3431927
4091353
4518268
4645809
4593303
4493065
4797475
4097840
4396864
5498505
5136690
3933143
5566353
4774120
4675777
5275992
4862750
4675779
2305792
4740195
4361452
4795221
4364886
1130245
4734069
3388870
1562388
5521016
4505778
2305799
3712599
2022985
1548406
4860273
5336184
4225671
5061170
4800163
2673518
5279552
4974773
3469231
5223021
5315734
4645810
5385026
5512134
5011074
5062581
3279894
1673192
3388873
1937182
5305789
2622362
1525978
3262983
5062574
5275987
5278583
3262959
4192778
3521186
2041606
597486
4507418
4240574
4225663
5525939
4932478
3759186
2278826
1718904
4864494
3990314
5304424
3515270
5513524
2541604
2250657
5358484
5566341
2483194
5175242
5160226
4345082
4922096
5411970
5286590
4776570
5080359
3671270
4645457
3835821
988236
4947206
2792823
3325926
988235
110388
3628862
2890755
2622364
4215681
4992206
4897868
4773989
3070615
4735299
4660185
3049401
2541615
5125973
4468605
5198165
5217311
4799463
3263651
5191427
4974772
5333565
5302161
4932666
4734072
4097637
3521183
4808123
3777742
657900
2296683
1955987
4214703
4507439
4325159
2792825
5512109
3635874
5682565
1964705
4477573
4932634
4414900
4424862
4645881
4820648
4533502
5202401
4564903
3070617
4909301
3759185
5202495
4860211
3933144
5274082
4193982
4680372
3200303
5546375
4947210
5452888
5278553
5062579
2305800
5290476
4335379
2307054
4810360
4808125
4785500
3758913
3033267
1609531
5279547
3971630
3892959
3781826
5358478
5031036
4660187
4094975
2111690
1493242
5217291
5014124
4349311
2890748
5470702
5353169
4720369
3629859
5304045
5083333
4538517
2351194
883231
5227599
3628863
1937183
5643290
5353170
5341021
5179704
4866139
4192781
3226879
5202398
4212490
744646
5180789
4834966
4433193
3989122
3777740
5213128
4684176
4681010
4433194
4316057
5320023
5265068
5175256
5136973
5031035
4973296
4949435
4215621
3391241
429996
5137967
4309234
5188668
5208060
4785397
4577852
4097779
1898676
5682550
5521017
5175221
5153756
4845088
4368583
4193985
2443659
4785466
4364889
3431926
3068252
5317975
5286580
5411971
5083332
3521189
1220840
4414890
3748283
2250656
5498501
5202415
5202406
4335375
3759188
5525855
5453131
5273434
4834965
4577857
3628861
3521197
3262974
2946265
2541628
1358699
5566344
5210163
5056760
4575215
4467721
4288519
4271135
3574865
488947
293081
5561088
5202397
5148180
5098732
4922158
4821095
3262936
1976412
1345727
5531917
5363794
5279548
3868795
3361400
2578763
2309512
5107231
4992207
4018519
3868804
2677364
5194282
5175231
4739981
4629072
4543149
3893166
3748284
1592156
293121
5397370
5202418
5031032
4952728
4814517
2309507
2022976
1220843
5722234
5148177
5042456
4810383
